vid_id,uploader_name,interval_fromytcreated_toupload,category,video_length,no_of_views,ratings,no_of_ratings,no_of_comments
Nm8_HRelHcQ,cat123789,995,Pets & Animals,209,431887,4.72,1246,929
lVvxhphMbAI,DKnight2007,748,Pets & Animals,99,386318,4.71,1038,840
NpjGAZq4UZI,sulp2,1075,Pets & Animals,34,17909,4.2,49,65
ZhIkp_Z37Dk,cwaweeks3,847,Pets & Animals,16,11159,4.18,11,8
f93rMPIvPLM,DKnight2007,831,Pets & Animals,125,78168,4.39,185,219
XgCVV3210B4,miknambr,1066,Pets & Animals,32,3636,4.67,9,5
Q3U7j6fKrl8,beans6677,1062,Pets & Animals,90,3311,4.71,14,11
WZ8NM-pgB6M,DKnight2007,831,Pets & Animals,78,50191,4.48,168,133
N-Z5jq6Ez2U,ButterflyJenn,749,Pets & Animals,41,83927,4.05,79,130
Tqm1HxX_Vq8,Catesandwhatnot,780,Pets & Animals,26,107319,4.45,127,126
mtgz_YyZJCc,wiggywhackers,1132,Pets & Animals,35,113,3,2,0
#NAME?,riddleb0x,838,Pets & Animals,99,1441,3,6,0
#NAME?,clausmurf,1058,Pets & Animals,34,937,4.33,6,0
bAX6V2f6SKI,mcbird13,1103,News & Politics,190,57895,4.91,310,339
mFjfM-DfFjw,mrsnickjonas915,1066,Entertainment,244,24668,4.9,174,133
uxjA5v-orLg,minimesam123,1066,Entertainment,50,7902,4.97,30,17
YZIn9lZEEsk,IJAB1234,1090,Entertainment,59,17679,4.89,105,163
3isv1OBsm40,dancinchik9000,972,Entertainment,184,10877,4.92,106,48
Fc3cgdAUxDc,GelatoAllaFragola,973,Entertainment,178,4917,5,36,22
SI_M-9xbJHk,xXpaulineCzkaXx,1131,Film & Animation,298,1261,5,8,8
bp-qFACRiTg,JonasFever,1129,Entertainment,82,514,5,3,3
x-dU6Vgzieo,ILUVJOBROS,1103,Entertainment,199,5882,4.87,111,114
hJk5J2wq5T4,XxdaisyXx13,1011,Music,89,4926,4.78,27,37
v2dgHaDKThI,tookieclothespen,1066,Music,242,12719,4.93,103,85
hfe64hQsVQA,deerdue2,1049,Music,98,694,4.88,8,5
t3tCxJf3R70,karenjialun,1103,Entertainment,190,4034,5,18,26
_wGp-NbhYQk,taralovessyou,1103,People & Blogs,190,3412,5,19,30
